"Pipeline","TestSet","SampleName","AnalyticTruthLabel","PerformanceTotalCount","TotalCountsOverall","PerformancePercent"
"MMARC-assembled","Soil","SRR1238274","Trimethoprim",335710.830952875,467810.000000499,71.7622177705728
"Resfams","Soil","SRR1238274","Trimethoprim",50073,52429,95.5063037631845
"MMARC","Soil","SRR1238275","Trimethoprim",442,4054,10.9028120374938
"MMARC-assembled","Soil","SRR1238275","Trimethoprim",79978.4642857139,113636.000000001,70.3812737915041
"Resfams","Soil","SRR1238275","Trimethoprim",28995,31938,90.7852714634604
"MMARC","Soil","SRR1238276","beta-lactams",187458,187458,100
"MMARC-assembled","Soil","SRR1238276","beta-lactams",1178549.99997194,1227126.99997193,96.0414040273663
"Resfams","Soil","SRR1238276","beta-lactams",438002.000000272,438002.000000272,100
"Alignment","Soil","SRR1238277","Phenicol",0,26331,0
"MMARC","Soil","SRR1238277","Phenicol",0,44419.0000000021,0
"MMARC-assembled","Soil","SRR1238277","Phenicol",150715.880952338,751671.000000418,20.0507776610051
"Resfams","Soil","SRR1238277","Phenicol",3943.35476190732,410431.000001513,0.960783849634355
"MMARC","Soil","SRR1238278","beta-lactams",97729,97729,100
"MMARC-assembled","Soil","SRR1238278","beta-lactams",623615.000025813,652542.000025826,95.5670286358782
"Resfams","Soil","SRR1238278","beta-lactams",277217.000000322,277217.000000322,100
"Alignment","Soil","SRR1238279","beta-lactams",0,27,0
"MMARC","Soil","SRR1238279","beta-lactams",0,137,0
"MMARC-assembled","Soil","SRR1238279","beta-lactams",5895.99999999965,527551.000000005,1.11761706451122
"Resfams","Soil","SRR1238279","beta-lactams",1245,7797,15.9676798768757
"Alignment","Soil","SRR1238280","Glycopeptides",0,15,0
"MMARC","Soil","SRR1238280","Glycopeptides",0,413,0
"MMARC-assembled","Soil","SRR1238280","Glycopeptides",500949.305019951,794502.000004429,63.0519879140843
"Resfams","Soil","SRR1238280","Glycopeptides",290057.666667207,431409.000000515,67.2349595550535
"MMARC","Soil","SRR1238281","beta-lactams",758336.666666657,758459.999999991,99.9837389798627
"MMARC-assembled","Soil","SRR1238281","beta-lactams",4333184.2037261,4414056.99975463,98.1678352582891
"Resfams","Soil","SRR1238281","beta-lactams",960622.000004789,1182026.00000464,81.2691091398175
"MMARC","Soil","SRR1238282","Aminoglycosides",0,166,0
"MMARC-assembled","Soil","SRR1238282","Aminoglycosides",13366.3333333331,34964.0000000005,38.2288449071413
"Resfams","Soil","SRR1238282","Aminoglycosides",0,50777,0
"Alignment","Soil","SRR1238283","beta-lactams",173,173,100
"MMARC","Soil","SRR1238283","beta-lactams",284999.499999825,285057.999999825,99.9794778606459
"MMARC-assembled","Soil","SRR1238283","beta-lactams",1217234.06787015,1221138.99998576,99.6802221437802
"Resfams","Soil","SRR1238283","beta-lactams",112008.999999743,114210.999999743,98.0719895631727
"MMARC","Soil","SRR1238284","beta-lactams",63659.3333333284,67540.999999995,94.252873563218
"MMARC-assembled","Soil","SRR1238284","beta-lactams",1177924.17046227,1228831.00000773,95.8572961176001
"Resfams","Soil","SRR1238284","beta-lactams",166176.000000109,191176.000000109,86.923044733656
"Alignment","Soil","SRR1238285","Tetracyclines",49518,102616,48.2556326498792
"MMARC","Soil","SRR1238285","Tetracyclines",400600.925000145,456237.000000145,87.8054443195133
"MMARC-assembled","Soil","SRR1238285","Tetracyclines",1962492.7966707,2515027.99997615,78.030654000246
"Resfams","Soil","SRR1238285","Tetracyclines",64640.0946133348,789245.999998682,8.19010734466095
"MMARC","Soil","SRR1238286","Tetracyclines",10220.9999999999,14486.9999999999,70.5529095050734
"MMARC-assembled","Soil","SRR1238286","Tetracyclines",19541.1817460388,56563.0000000091,34.5476402348455
"Resfams","Soil","SRR1238286","Tetracyclines",0,18244.0000000033,0
"MMARC","Soil","SRR1238287","Trimethoprim",70685,70685,100
"MMARC-assembled","Soil","SRR1238287","Trimethoprim",716417.360536674,768282.000002763,93.2492705196916
"Resfams","Soil","SRR1238287","Trimethoprim",88643,112279.000000003,78.9488684437855
"MMARC","Soil","SRR1238288","Trimethoprim",33844,33844,100
"MMARC-assembled","Soil","SRR1238288","Trimethoprim",239596.033261163,252029.99999998,95.0664735393334
"Resfams","Soil","SRR1238288","Trimethoprim",17706,17711,99.9717689571453
"MMARC","Soil","SRR1238289","beta-lactams",0,1938,0
"MMARC-assembled","Soil","SRR1238289","beta-lactams",340818.139155841,443620.000001281,76.8265946429053
"Resfams","Soil","SRR1238289","beta-lactams",24346.9999999928,182075.999999994,13.371888661874
"Alignment","Soil","SRR1238290","Phenicol",0,14,0
"MMARC","Soil","SRR1238290","Phenicol",0,5542.99999999999,0
"MMARC-assembled","Soil","SRR1238290","Phenicol",4847.5000000001,417121.999999787,1.16213002431005
"Resfams","Soil","SRR1238290","Phenicol",422.224206349204,70196.00000001,0.601493256523368
"Alignment","Soil","SRR1238291","beta-lactams",0,14,0
"MMARC","Soil","SRR1238291","beta-lactams",0,29,0
"MMARC-assembled","Soil","SRR1238291","beta-lactams",67046.9999999608,112502.999999955,59.5957441134794
"Resfams","Soil","SRR1238291","beta-lactams",21423.9999999998,21435.9999999998,99.9440194066057
"MMARC","Soil","SRR1238292","beta-lactams",3716195,3716195,100
"MMARC-assembled","Soil","SRR1238292","beta-lactams",13982818.5779229,14410245.0006309,97.0338712305775
"Resfams","Soil","SRR1238292","beta-lactams",1641576.99999316,1641576.99999316,100
"MMARC-assembled","Soil","SRR1238293","Glycopeptides",162656.78095176,205391.99999938,79.1933380814496
"Resfams","Soil","SRR1238293","Glycopeptides",67032.3333332916,76042.9999999584,88.1505639353107
"MMARC","Soil","SRR1238294","beta-lactams",275168.666666682,275199.000000015,99.9889776731262
"MMARC-assembled","Soil","SRR1238294","beta-lactams",1292851.74521142,1555148.99997368,83.1336254746846
"Resfams","Soil","SRR1238294","beta-lactams",253589.000001382,309079.000001242,82.0466612097111
"MMARC","Soil","SRR1238295","Aminoglycosides",0,8286,0
"MMARC-assembled","Soil","SRR1238295","Aminoglycosides",77650.3288742606,149928.999999989,51.7914005124202
"Resfams","Soil","SRR1238295","Aminoglycosides",28053.0000000063,30849.0000000063,90.9364971311893
"Alignment","Soil","SRR1238296","beta-lactams",37,37,100
"MMARC","Soil","SRR1238296","beta-lactams",30494,110134,27.688089055151
"MMARC-assembled","Soil","SRR1238296","beta-lactams",1327681.33330447,1858506.9999726,71.4380593306369
"Resfams","Soil","SRR1238296","beta-lactams",152783.000000131,203933.000000109,74.9182329490807
"MMARC","Soil","SRR1238297","beta-lactams",0,43,0
"MMARC-assembled","Soil","SRR1238297","beta-lactams",1038192.49999242,1168333.9999922,88.860933602835
"Resfams","Soil","SRR1238297","beta-lactams",280368.000001314,281008.000001314,99.7722484769128
"MMARC","Soil","SRR1238298","beta-lactams",0,31,0
"MMARC-assembled","Soil","SRR1238298","beta-lactams",478594.416677432,530278.000010754,90.2534928222038
"Resfams","Soil","SRR1238298","beta-lactams",35403,35445,99.8815065594583
"MMARC","Soil","SRR1238299","Tetracyclines",838904.166667876,839661.000001209,99.9098644175051
"MMARC-assembled","Soil","SRR1238299","Tetracyclines",2528481.41704586,3043456.99999569,83.0792554995664
"Resfams","Soil","SRR1238299","Tetracyclines",229900.375447769,603468.000000887,38.0965312903801
"Alignment","Soil","SRR1238300","Tetracyclines",12203779,12203779,100
"MMARC","Soil","SRR1238300","Tetracyclines",8913021.99999478,8913048.99999478,99.9996970733584
"MMARC-assembled","Soil","SRR1238300","Tetracyclines",1911676,1944834.00000002,98.2950729985173
"Alignment","Soil","SRR1238301","Trimethoprim",13722,13722,100
"MMARC","Soil","SRR1238301","Trimethoprim",189082.999999996,189082.999999996,100
"MMARC-assembled","Soil","SRR1238301","Trimethoprim",976951.360728582,1072066.0000143,91.1279119676918
"Resfams","Soil","SRR1238301","Trimethoprim",126262,157024,80.4093641736295
"MMARC","Soil","SRR1238302","Trimethoprim",419046.459523799,442134.999999989,94.777943280629
"MMARC-assembled","Soil","SRR1238302","Trimethoprim",1358755.73094986,1634271.99999741,83.1413455625514
"Resfams","Soil","SRR1238302","Trimethoprim",58975,89788.0000000203,65.682496547408
"MMARC-assembled","Soil","SRR1238303","beta-lactams",6192832.00040951,6196735.00040951,99.9370152185023
"Resfams","Soil","SRR1238303","beta-lactams",1705655.99997688,1705655.99997688,100
"MMARC","Soil","SRR1238304","Phenicol",0,7136,0
"MMARC-assembled","Soil","SRR1238304","Phenicol",39153.0380952465,275665.999999969,14.2030711423429
"Resfams","Soil","SRR1238304","Phenicol",341.930555555548,52325.9999999968,0.653462056254192
"MMARC","Soil","SRR1238305","beta-lactams",1830263.99996284,1830263.99996284,100
"MMARC-assembled","Soil","SRR1238305","beta-lactams",9673436.05742468,15019848.9994367,64.4043495895829
"Resfams","Soil","SRR1238305","beta-lactams",1106960.99997317,1106960.99997317,100
"MMARC-assembled","Soil","SRR1238306","Glycopeptides",115200.385714187,129270.999999901,89.11541313541
"Resfams","Soil","SRR1238306","Glycopeptides",63623.8333330359,73230.9999997027,86.8810112292529
"MMARC-assembled","Soil","SRR1238307","Aminoglycosides",269976.133333159,789690.000000465,34.1876094838481
"Resfams","Soil","SRR1238307","Aminoglycosides",103035.999999748,350248.000000869,29.4180123796545
"MMARC","Soil","SRR1238308","beta-lactams",0,164,0
"MMARC-assembled","Soil","SRR1238308","beta-lactams",127179.433332886,175436.999999553,72.4929366856536
"Resfams","Soil","SRR1238308","beta-lactams",28846.9999999994,34752.9999999994,83.0057836733518
"MMARC","Soil","SRR1238309","beta-lactams",304793,304793,100
"MMARC-assembled","Soil","SRR1238309","beta-lactams",3013726.02822227,3531434.99995724,85.33998298875
"Resfams","Soil","SRR1238309","beta-lactams",345081.000002435,345081.000002435,100
"MMARC","Soil","SRR1238310","beta-lactams",353352,353352,100
"MMARC-assembled","Soil","SRR1238310","beta-lactams",1109907.00000147,1823427.00000147,60.8692862396232
"Resfams","Soil","SRR1238310","beta-lactams",119828.999999401,119845.999999401,99.985815129416
"Alignment","Soil","SRR1238311","Tetracyclines",103,103,100
"MMARC","Soil","SRR1238311","Tetracyclines",2407,2462,97.766043866775
"MMARC-assembled","Soil","SRR1238311","Tetracyclines",8618.18095238085,26730,32.2416047601228
"Resfams","Soil","SRR1238311","Tetracyclines",84813.4062770531,98803.9999999968,85.8400533146996
"Alignment","Soil","SRR1238312","Trimethoprim",294,294,100
"MMARC","Soil","SRR1238312","Trimethoprim",104221,104221,100
"MMARC-assembled","Soil","SRR1238312","Trimethoprim",1036742.58334096,1243554.00000763,83.3693256050482
"Resfams","Soil","SRR1238312","Trimethoprim",62100,63257,98.1709534122706
"MMARC","Soil","SRR1238313","beta-lactams",108.666666666667,471,23.0714791224345
"MMARC-assembled","Soil","SRR1238313","beta-lactams",275582.563493852,371465.000001788,74.188029422025
"Resfams","Soil","SRR1238313","beta-lactams",26608.9999999929,30162.9999999929,88.2173523853702
"MMARC","Soil","SRR1238314","Phenicol",3861.99999999973,12526.9999999997,30.8294084776867
"MMARC-assembled","Soil","SRR1238314","Phenicol",31166.2675269192,308623.999999987,10.0984588129635
"Resfams","Soil","SRR1238314","Phenicol",852.410714285714,40942.9999999967,2.08194493389782
"MMARC-assembled","Soil","SRR1238315","beta-lactams",0,4336.99999999992,0
"Resfams","Soil","SRR1238315","beta-lactams",0,224139,0
"MMARC-assembled","Soil","SRR1238316","Glycopeptides",79100.2380952202,98995.9999999824,79.9024587813995
"Resfams","Soil","SRR1238316","Glycopeptides",48719.6666665899,56960.9999999232,85.5316210506409
"MMARC-assembled","Soil","SRR1238317","beta-lactams",0,4119.9999999999,0
"MMARC","Soil","SRR1238318","Aminoglycosides",74102.9999999914,74133.9999999914,99.9581838292821
"MMARC-assembled","Soil","SRR1238318","Aminoglycosides",152469.68095202,189856.999999647,80.3076425690408
"Resfams","Soil","SRR1238318","Aminoglycosides",7935,8186,96.9337893965306
"MMARC","Soil","SRR1238319","beta-lactams",285970.116666094,286404.999999427,99.8481579115818
"MMARC-assembled","Soil","SRR1238319","beta-lactams",480395.550016072,534564.000016075,89.8667979889453
"Resfams","Soil","SRR1238319","beta-lactams",24237.9999999997,28745.9999999995,84.3178181312186
"Alignment","Soil","SRR1238320","beta-lactams",25186,25186,100
"MMARC","Soil","SRR1238320","beta-lactams",30871,31041,99.4523372314036
"MMARC-assembled","Soil","SRR1238320","beta-lactams",64874.7722222699,174273.00000005,37.2259456268334
"Resfams","Soil","SRR1238320","beta-lactams",2348.99999999995,129948,1.80764613537719
"MMARC","Soil","SRR1238321","Tetracyclines",19149,24284,78.8543897216274
"MMARC-assembled","Soil","SRR1238321","Tetracyclines",81742.1447772751,170454.999999834,47.9552637220115
"Resfams","Soil","SRR1238321","Tetracyclines",18141.5245976261,62379.9999999883,29.0822773286783
"MMARC","Soil","SRR1238322","Tetracyclines",125,3202.99999999999,3.90259132063692
"MMARC-assembled","Soil","SRR1238322","Tetracyclines",1217.77857142857,73248.0000000008,1.66254173687822
"Resfams","Soil","SRR1238322","Tetracyclines",840.5,13417,6.26444063501528
"MMARC","Soil","SRR1238323","Trimethoprim",99379.0000000011,99379.0000000011,100
"MMARC-assembled","Soil","SRR1238323","Trimethoprim",646201.044052457,711889.000004838,90.7727249680872
"Resfams","Soil","SRR1238323","Trimethoprim",33005,73652.0000000001,44.8120892847444
"MMARC","Soil","SRR1238324","Trimethoprim",242708.833333333,242870,99.9336407680378
"MMARC-assembled","Soil","SRR1238324","Trimethoprim",1164742.49999464,1336176.99999464,87.1697761598437
"Resfams","Soil","SRR1238324","Trimethoprim",82308,82949,99.2272360124896
"MMARC","Soil","SRR1238325","beta-lactams",124.328571428571,2844,4.37160940325497
"MMARC-assembled","Soil","SRR1238325","beta-lactams",3582814.66343313,3682676.99994106,97.2883221496337
"Resfams","Soil","SRR1238325","beta-lactams",625917.999999632,640892.999999631,97.6634165141438
"Alignment","Soil","SRR1238326","Phenicol",0,115716,0
"MMARC","Soil","SRR1238326","Phenicol",0,158549.999999981,0
"MMARC-assembled","Soil","SRR1238326","Phenicol",55340.3999999978,667270.999998984,8.2935419042761
"Resfams","Soil","SRR1238326","Phenicol",1459.93809523819,163741.00000004,0.89161425375308
"Alignment","Soil","SRR1238327","beta-lactams",0,1989,0
"MMARC","Soil","SRR1238327","beta-lactams",654,4118,15.8814958717824
"MMARC-assembled","Soil","SRR1238327","beta-lactams",2428.20064935054,34744.0000000032,6.98883447314736
"Resfams","Soil","SRR1238327","beta-lactams",340.000000000002,2431,13.986013986014
"MMARC","Soil","SRR1238328","Glycopeptides",0,23,0
"MMARC-assembled","Soil","SRR1238328","Glycopeptides",40612.9285714477,69741.0000000195,58.2339349470704
"Resfams","Soil","SRR1238328","Glycopeptides",23776.6666666733,36141.0000000065,65.7886241849119
"MMARC-assembled","Soil","SRR1238329","beta-lactams",2942693.99993592,3218557.99993592,91.4289566941005
"Resfams","Soil","SRR1238329","beta-lactams",208121.000001351,208121.000001351,100
"MMARC","Soil","SRR1238330","Aminoglycosides",132591.5,132669,99.941583941991
"MMARC-assembled","Soil","SRR1238330","Aminoglycosides",1712214.43927845,1722392.99999274,99.4090453970535
"Resfams","Soil","SRR1238330","Aminoglycosides",62135.9999999993,62258.9999999993,99.8024382017058
"Alignment","Soil","SRR1238331","beta-lactams",0,199847,0
"MMARC","Soil","SRR1238331","beta-lactams",105882,313435,33.7811667490867
"MMARC-assembled","Soil","SRR1238331","beta-lactams",3448408.62449918,4183638.00001682,82.4260756902323
"Resfams","Soil","SRR1238331","beta-lactams",832931.999994257,946986.999994155,87.9560120676839
"MMARC","Soil","SRR1238332","beta-lactams",0,290,0
"MMARC-assembled","Soil","SRR1238332","beta-lactams",330795.931451791,526106.000004073,62.8762894643343
"Resfams","Soil","SRR1238332","beta-lactams",22061.9999999956,42017.999999996,52.5060688276398
"MMARC","Soil","SRR1238333","beta-lactams",53240.9999999992,53263.9999999992,99.9568188645239
"MMARC-assembled","Soil","SRR1238333","beta-lactams",163396.999999454,210517.999999454,77.6166408572558
"Resfams","Soil","SRR1238333","beta-lactams",5256.99999999999,11700,44.9316239316239
"Alignment","Soil","SRR1238334","Tetracyclines",0,729,0
"MMARC","Soil","SRR1238334","Tetracyclines",21188.9999999998,23099.9999999998,91.7272727272727
"MMARC-assembled","Soil","SRR1238334","Tetracyclines",162320.910378153,788371.999999663,20.5893804420023
"Resfams","Soil","SRR1238334","Tetracyclines",26461.3697496914,628468.999999511,4.21044948115372
"MMARC-assembled","Soil","SRR1238335","Tetracyclines",18,3701601.99998669,0.000486275942147879
"Resfams","Soil","SRR1238335","Tetracyclines",0,784404.00000001,0
"Alignment","Soil","SRR1238336","Trimethoprim",10111,10111,100
"MMARC","Soil","SRR1238336","Trimethoprim",383173,383173,100
"MMARC-assembled","Soil","SRR1238336","Trimethoprim",1775316.80435439,2046004.99998927,86.7699152428122
"Resfams","Soil","SRR1238336","Trimethoprim",124938,195531.000000005,63.8967734016586
"MMARC","Soil","SRR1238337","Trimethoprim",6161,6161,100
"MMARC-assembled","Soil","SRR1238337","Trimethoprim",116793.666666624,404551.999999892,28.8698774611558
"Resfams","Soil","SRR1238337","Trimethoprim",11293,11293,100
"MMARC","Soil","SRR1238338","beta-lactams",104048,104082,99.967333448627
"MMARC-assembled","Soil","SRR1238338","beta-lactams",857127.740065265,868353.999985901,98.7071793392076
"Resfams","Soil","SRR1238338","beta-lactams",252317.000000102,254878.000000102,98.9952055493221
"MMARC","Soil","SRR1238339","Phenicol",0,7871.00000000002,0
"MMARC-assembled","Soil","SRR1238339","Phenicol",55619.8999999537,654897.000000004,8.49292331465152
"Resfams","Soil","SRR1238339","Phenicol",266.3,147017.999999934,0.181134282877008
"MMARC","Soil","SRR1238340","beta-lactams",32,32,100
"MMARC-assembled","Soil","SRR1238340","beta-lactams",423159.916656438,911236.999990227,46.4379647293708
"Resfams","Soil","SRR1238340","beta-lactams",144989.000000436,144989.000000436,100
"MMARC","Soil","SRR1238341","Glycopeptides",0,73,0
"MMARC-assembled","Soil","SRR1238341","Glycopeptides",467874.610610022,542712.00000396,86.2104782290807
"Resfams","Soil","SRR1238341","Glycopeptides",204343.833333461,220547.000000127,92.6531910809682
"MMARC-assembled","Soil","SRR1238342","beta-lactams",350198.000001866,356108.000001866,98.3403911173101
"Resfams","Soil","SRR1238342","beta-lactams",200627.000000124,281167.999999666,71.3548483470247
"MMARC","Soil","SRR1238343","Aminoglycosides",360859,360859,100
"MMARC-assembled","Soil","SRR1238343","Aminoglycosides",776985.132541032,965720.000001349,80.4565642774247
"Resfams","Soil","SRR1238343","Aminoglycosides",169676,169676,100
"MMARC","Soil","SRR1238344","beta-lactams",1584532.00001153,1584532.00001153,100
"MMARC-assembled","Soil","SRR1238344","beta-lactams",4283236.52287907,4906291.99979501,87.3008887986696
"Resfams","Soil","SRR1238344","beta-lactams",646805.999987959,646805.999987959,100
"MMARC","Soil","SRR1238345","Tetracyclines",20670.3499999997,21738.9999999997,95.084180505083
"MMARC-assembled","Soil","SRR1238345","Tetracyclines",96471.7575034475,210660.99999983,45.7947875988082
"Resfams","Soil","SRR1238345","Tetracyclines",10795.6063048059,128877.999999928,8.37660912243513
"Alignment","Soil","SRR1238346","Trimethoprim",4765,4765,100
"MMARC","Soil","SRR1238346","Trimethoprim",615358.000000019,615358.000000019,100
"MMARC-assembled","Soil","SRR1238346","Trimethoprim",2223267.06308575,2386984.99999051,93.1412247288774
"Resfams","Soil","SRR1238346","Trimethoprim",282646,303788,93.0405414302079
"MMARC","Soil","SRR1238347","Trimethoprim",663783.750000001,677840.000000001,97.9263174200401
"MMARC-assembled","Soil","SRR1238347","Trimethoprim",2396753.24999059,3703301.99999094,64.7193572113873
"Resfams","Soil","SRR1238347","Trimethoprim",384177,460480.000000001,83.4296820708824
"MMARC-assembled","Soil","SRR1238348","Phenicol",531495,541440.000000001,98.1632313829786
"MMARC-assembled","Soil","SRR1238349","Glycopeptides",3376.90158730159,6988.99999999998,48.3173785563257
"Resfams","Soil","SRR1238349","Glycopeptides",1177.0000000001,8018.0000000001,14.679471189824
"Alignment","Soil","SRR1238350","beta-lactams",164290,164290,100
"MMARC","Soil","SRR1238350","beta-lactams",171032,171128,99.943901640877
"MMARC-assembled","Soil","SRR1238350","beta-lactams",366076.99999654,366396.99999654,99.9126630403625
"Resfams","Soil","SRR1238350","beta-lactams",14719.0000000086,14719.0000000086,100
"MMARC","Soil","SRR1238351","Trimethoprim",5677,5677,100
"MMARC-assembled","Soil","SRR1238351","Trimethoprim",211399.99999966,223543.99999966,94.5675124360222
"Resfams","Soil","SRR1238351","Trimethoprim",16529,16529,100
"MMARC-assembled","Soil","SRR1238352","Trimethoprim",1371.99999999999,1635.99999999999,83.8630806845964
"Resfams","Soil","SRR1238352","Trimethoprim",88,89,98.876404494382
"MMARC-assembled","Soil","SRR1238353","beta-lactams",46800.0000000633,47300.0000000633,98.9429175475701
"Resfams","Soil","SRR1238353","beta-lactams",200.999999999996,200.999999999996,100
"MMARC","Soil","SRR1238354","Phenicol",139483.433333325,163913.999999992,85.0954972322877
"MMARC-assembled","Soil","SRR1238354","Phenicol",262375.33333208,584937.999998673,44.8552382188668
"Resfams","Soil","SRR1238354","Phenicol",22549.9440559439,242929.999999941,9.28248633596072
"Alignment","Soil","SRR1238355","beta-lactams",39559,39559,100
"MMARC","Soil","SRR1238355","beta-lactams",30958.5,31061,99.6700041853128
"MMARC-assembled","Soil","SRR1238355","beta-lactams",89815.1452377641,104567.999999669,85.891616209594
"Resfams","Soil","SRR1238355","beta-lactams",61146.9999999428,62830.9999999428,97.3197943690192
"MMARC","Soil","SRR1238356","beta-lactams",0,8,0
"MMARC-assembled","Soil","SRR1238356","beta-lactams",10192.4999999989,19932.9999999993,51.1337982240471
"Resfams","Soil","SRR1238356","beta-lactams",1929.99999999993,1957.99999999993,98.5699693564862
"MMARC","Soil","SRR1238357","Glycopeptides",0,124,0
"MMARC-assembled","Soil","SRR1238357","Glycopeptides",2474280.43049201,3077759.99993646,80.3922473013845
"Resfams","Soil","SRR1238357","Glycopeptides",503371.500007204,590965.000007203,85.1778870154864
"MMARC","Soil","SRR1238358","Aminoglycosides",0,1211,0
"MMARC-assembled","Soil","SRR1238358","Aminoglycosides",974171.454421205,1067286.00000944,91.2755769693022
"Resfams","Soil","SRR1238358","Aminoglycosides",625985,634904,98.5952206947822
"Alignment","Soil","SRR1238359","beta-lactams",1179,1179,100
"MMARC","Soil","SRR1238359","beta-lactams",810,1030,78.6407766990291
"MMARC-assembled","Soil","SRR1238359","beta-lactams",15507.2889194215,72820.0000000079,21.2953706666023
"Resfams","Soil","SRR1238359","beta-lactams",3730.99999999966,8750.99999999968,42.6351274140076
"Alignment","Soil","SRR1238360","beta-lactams",9188,9188,100
"MMARC","Soil","SRR1238360","beta-lactams",6373,7313,87.1461780391084
"MMARC-assembled","Soil","SRR1238360","beta-lactams",33977.4263354648,82367.0000000217,41.2512612277439
"Resfams","Soil","SRR1238360","beta-lactams",15072.0000000042,19351.0000000043,77.887447677127
"Alignment","Soil","SRR1238361","beta-lactams",11240,11240,100
"MMARC","Soil","SRR1238361","beta-lactams",7880,7992,98.5985985985986
"MMARC-assembled","Soil","SRR1238361","beta-lactams",28489.642857164,62699.0000000213,45.4387515863958
"Resfams","Soil","SRR1238361","beta-lactams",17218.000000005,20542.000000005,83.8185181579243
"MMARC","Soil","SRR1238362","Tetracyclines",3323.99999999999,5117.99999999999,64.9472450175849
"MMARC-assembled","Soil","SRR1238362","Tetracyclines",213742.644794394,383616.000000313,55.7178649467748
"Resfams","Soil","SRR1238362","Tetracyclines",30249.1582389819,80021.000000012,37.8015248984359
"MMARC","Soil","SRR1238363","Tetracyclines",8966.99999999996,8966.99999999996,100
"MMARC-assembled","Soil","SRR1238363","Tetracyclines",12406.2666666697,38309.0000000029,32.3847311771874
"Resfams","Soil","SRR1238363","Tetracyclines",12.75,8872.99999999952,0.14369435365717
"MMARC","Soil","SRR1238364","Trimethoprim",405152.999999995,405152.999999995,100
"MMARC-assembled","Soil","SRR1238364","Trimethoprim",2360767.35594348,2681187.99999112,88.0493033666907
"Resfams","Soil","SRR1238364","Trimethoprim",229779,253780,90.5425959492474
"MMARC","Soil","SRR1238365","Trimethoprim",210393.75,212129,99.1819836043162
"MMARC-assembled","Soil","SRR1238365","Trimethoprim",1113019.29086872,1206784.9999957,92.230123085113
"Resfams","Soil","SRR1238365","Trimethoprim",17075,33298.9999999998,51.2778161506355
"MMARC","Soil","SRR1238366","beta-lactams",0,240,0
"MMARC-assembled","Soil","SRR1238366","beta-lactams",39033.8313997326,53577.0000000003,72.8555749663706
"Resfams","Soil","SRR1238366","beta-lactams",6040.49999999849,10278.9999999985,58.765444109343
"MMARC","Soil","SRR1238367","Phenicol",0,166840,0
"MMARC-assembled","Soil","SRR1238367","Phenicol",2040.55952380956,234607.000000479,0.869777766138858
"Resfams","Soil","SRR1238367","Phenicol",17.0075396825397,165634.000000006,0.0102681452374145
"Alignment","Soil","SRR1238368","beta-lactams",7081,7139,99.1875612830929
"MMARC","Soil","SRR1238368","beta-lactams",13719.5000000025,13943.0000000025,98.397045112243
"MMARC-assembled","Soil","SRR1238368","beta-lactams",24684.9301549658,115176.00000005,21.4323558336417
"Resfams","Soil","SRR1238368","beta-lactams",1211.99999999993,1354.99999999993,89.4464944649441
"MMARC","Soil","SRR1238369","beta-lactams",56,56,100
"MMARC-assembled","Soil","SRR1238369","beta-lactams",4021220.00014219,5082858.0001422,79.1133649617931
"Resfams","Soil","SRR1238369","beta-lactams",1199659.99999373,1199659.99999373,100
"MMARC-assembled","Soil","SRR1238370","Glycopeptides",4430.76666666676,40997.0000000001,10.8075387629991
"Resfams","Soil","SRR1238370","Glycopeptides",2195.00000000015,2951.00000000014,74.3815655709943
"MMARC-assembled","Soil","SRR1238371","beta-lactams",1529600.94795066,2547994.99994093,60.0315521806802
"Resfams","Soil","SRR1238371","beta-lactams",124211.000001891,296646.000002702,41.8717933161951
"MMARC","Soil","SRR1238372","Aminoglycosides",10599,10759,98.5128729435821
"MMARC-assembled","Soil","SRR1238372","Aminoglycosides",155278.910714101,252158.999999836,61.5797614656632
"Resfams","Soil","SRR1238372","Aminoglycosides",1897,11033,17.1938729266746
"MMARC","Soil","SRR1238373","beta-lactams",0,3513.99999999999,0
"MMARC-assembled","Soil","SRR1238373","beta-lactams",400547.461750673,538757.000001406,74.3465907170816
"Resfams","Soil","SRR1238373","beta-lactams",113918.99999989,142638.999999891,79.8652542432138
"MMARC-assembled","Soil","SRR1238374","beta-lactams",1326712.00000223,1343675.00000223,98.7375667479136
"Resfams","Soil","SRR1238374","beta-lactams",85863,479222,17.9171657394694
"MMARC-assembled","Soil","SRR1238375","beta-lactams",84,166534,0.0504401503596862
"Resfams","Soil","SRR1238375","beta-lactams",72,123,58.5365853658537
"MMARC","Soil","SRR1238376","Tetracyclines",1809671.38690687,1816056.00000211,99.6484352302335
"MMARC-assembled","Soil","SRR1238376","Tetracyclines",5089062.16892884,5972005.99993149,85.2152889495962
"Resfams","Soil","SRR1238376","Tetracyclines",344657.339390401,1127321.00001001,30.573132176846
"MMARC","Soil","SRR1238377","Tetracyclines",1459,1936,75.3615702479339
"MMARC-assembled","Soil","SRR1238377","Tetracyclines",9998.43898601353,50577.0000000026,19.7687466358483
"Resfams","Soil","SRR1238377","Tetracyclines",1305.4493506494,27254.0000000008,4.78993670892113
"Alignment","Soil","SRR1238378","Trimethoprim",1673,1673,100
"MMARC","Soil","SRR1238378","Trimethoprim",802901.000000011,802947.000000011,99.9942711038213
"MMARC-assembled","Soil","SRR1238378","Trimethoprim",3607885.26744247,4217966.9999828,85.536118880427
"Resfams","Soil","SRR1238378","Trimethoprim",327558,578925.999999986,56.5802883270069
